id,question,category,answer,label,score_clarity,score_structure,score_impact,missing
135,Tell me about a time you created value without formal ownership.,initiative,"In a class project, repeated setup issues were wasting time for new teammates. I first clarified the success criteria and the actual risk to the timeline. I focused on removing friction that affected multiple people instead of just optimizing my own workflow. I documented the decision path, followed up on ownership, and kept stakeholders aligned. It improved the workflow enough that later teammates continued using it.",strong,9,10,8,deeper reflection
136,Describe a time you solved a problem before it became bigger.,initiative,"basically, During my internship, I noticed repeated friction in the review process even though nobody had formally owned it. I tried to help and talk to people, but I was not very structured about it. I put together a lightweight fix, tested it quickly, and then shared it in a way that made adoption easy The team saved time, the process felt smoother, and the change stuck because it solved a real pain point.",weak,2,4,2,"metrics, ownership, specific context"
139,Tell me about a time you started something useful on your own.,initiative,"basically, In a student project, I saw that the team kept losing time because the work tracker was outdated. I tried to help and talk to people, but I was not very structured about it. I did not wait for permission to do the discovery work, but I made sure to keep the actual owners informed People adopted the improvement quickly and it reduced repeated confusion across the group.",weak,4,2,3,"metrics, ownership, specific context"
142,Describe a time you did more than the assigned work because it mattered.,initiative,"basically, During a campus event build, I noticed the onboarding material for new contributors was missing. I tried to help and talk to people, but I was not very structured about it. I started small, collected feedback, and improved the idea before asking the full team to change habits The initiative improved delivery speed and made my work more trusted because it helped the whole team.",weak,3,4,3,"metrics, ownership, specific context"
148,Describe a time you proactively improved team execution.,initiative,"honestly, In a class project, repeated setup issues were wasting time for new teammates. I tried to help and talk to people, but I was not very structured about it. I focused on removing friction that affected multiple people instead of just optimizing my own workflow It improved the workflow enough that later teammates continued using it.",weak,3,4,3,"measurable impact, specific actions"
151,Tell me about a time you performed under pressure.,pressure,"kind of, During an internship release week, we discovered a blocking issue shortly before a demo. I tried to help and talk to people, but I was not very structured about it. I reduced the noise by identifying what truly had to happen first and what could wait We got through the deadline without unnecessary panic and delivered the most important work successfully.",weak,3,3,1,"clear structure, result"
152,Tell me about a time you performed under pressure.,pressure,"During an internship release week, we discovered a blocking issue shortly before a demo. I reduced the noise by identifying what truly had to happen first and what could wait. I also kept the team updated so we could move forward without too much confusion. We got through the deadline without unnecessary panic and delivered the most important work successfully.",average,6,5,5,strong impact
153,Tell me about a time you performed under pressure.,pressure,"During an internship release week, we discovered a blocking issue shortly before a demo. I first clarified the success criteria and the actual risk to the timeline. I reduced the noise by identifying what truly had to happen first and what could wait. I documented the decision path, followed up on ownership, and kept stakeholders aligned. We got through the deadline without unnecessary panic and delivered the most important work successfully.",strong,10,9,7,deeper reflection
154,Describe a time a deadline or high-stakes situation tested you.,pressure,"honestly, In a project presentation cycle, several problems surfaced right before the final deadline. I tried to help and talk to people, but I was not very structured about it. I kept updates short and frequent so nobody wasted time guessing about the status The pressure was real, but the team stayed coordinated because the priorities were clear.",weak,4,4,1,"clear structure, result"
155,Describe a time a deadline or high-stakes situation tested you.,pressure,"In a project presentation cycle, several problems surfaced right before the final deadline. I kept updates short and frequent so nobody wasted time guessing about the status. I also kept the team updated so we could move forward without too much confusion. The pressure was real, but the team stayed coordinated because the priorities were clear.",average,5,6,4,reflection
156,Describe a time a deadline or high-stakes situation tested you.,pressure,"In a project presentation cycle, several problems surfaced right before the final deadline. I first clarified the success criteria and the actual risk to the timeline. I kept updates short and frequent so nobody wasted time guessing about the status. I documented the decision path, followed up on ownership, and kept stakeholders aligned. The pressure was real, but the team stayed coordinated because the priorities were clear.",strong,7,7,8,
157,Tell me about a time you handled pressure without losing focus.,pressure,"honestly, At a student event, last-minute changes forced the team to reorganize work quickly. I tried to help and talk to people, but I was not very structured about it. I avoided trying to fix everything at once and instead focused on the highest-risk path We recovered enough to meet the key milestone, and I learned how much clarity matters when time is tight.",weak,4,2,1,"metrics, ownership, specific context"
158,Tell me about a time you handled pressure without losing focus.,pressure,"At a student event, last-minute changes forced the team to reorganize work quickly. I avoided trying to fix everything at once and instead focused on the highest-risk path. I also kept the team updated so we could move forward without too much confusion. We recovered enough to meet the key milestone, and I learned how much clarity matters when time is tight.",average,6,6,4,reflection
159,Tell me about a time you handled pressure without losing focus.,pressure,"At a student event, last-minute changes forced the team to reorganize work quickly. I first clarified the success criteria and the actual risk to the timeline. I avoided trying to fix everything at once and instead focused on the highest-risk path. I documented the decision path, followed up on ownership, and kept stakeholders aligned. We recovered enough to meet the key milestone, and I learned how much clarity matters when time is tight.",strong,8,10,9,deeper reflection
160,Describe a time urgent work forced you to prioritize carefully.,pressure,"to be honest, During a sprint, a production-like bug appeared while other commitments were already heavy. I tried to help and talk to people, but I was not very structured about it. I stayed calm, documented the options, and asked for help where it would change the outcome fastest The situation stabilized quickly because we stopped multitasking and focused on the right fixes.",weak,4,4,3,"measurable impact, specific actions"
161,Describe a time urgent work forced you to prioritize carefully.,pressure,"During a sprint, a production-like bug appeared while other commitments were already heavy. I stayed calm, documented the options, and asked for help where it would change the outcome fastest. I also kept the team updated so we could move forward without too much confusion. The situation stabilized quickly because we stopped multitasking and focused on the right fixes.",average,5,4,5,metrics
162,Describe a time urgent work forced you to prioritize carefully.,pressure,"During a sprint, a production-like bug appeared while other commitments were already heavy. I first clarified the success criteria and the actual risk to the timeline. I stayed calm, documented the options, and asked for help where it would change the outcome fastest. I documented the decision path, followed up on ownership, and kept stakeholders aligned. The situation stabilized quickly because we stopped multitasking and focused on the right fixes.",strong,7,9,10,deeper reflection
163,Tell me about a time you had to stay calm in a stressful situation.,pressure,"to be honest, In a campus project, a critical dependency slipped and compressed the remaining timeline. I tried to help and talk to people, but I was not very structured about it. I made quick tradeoff decisions but explained them clearly so the team stayed aligned We avoided a bigger failure by staying disciplined under pressure.",weak,2,4,3,"measurable impact, specific actions"
164,Tell me about a time you had to stay calm in a stressful situation.,pressure,"In a campus project, a critical dependency slipped and compressed the remaining timeline. I made quick tradeoff decisions but explained them clearly so the team stayed aligned. I also kept the team updated so we could move forward without too much confusion. We avoided a bigger failure by staying disciplined under pressure.",average,5,4,6,strong impact
165,Tell me about a time you had to stay calm in a stressful situation.,pressure,"In a campus project, a critical dependency slipped and compressed the remaining timeline. I first clarified the success criteria and the actual risk to the timeline. I made quick tradeoff decisions but explained them clearly so the team stayed aligned. I documented the decision path, followed up on ownership, and kept stakeholders aligned. We avoided a bigger failure by staying disciplined under pressure.",strong,7,7,9,
166,Describe a time intense deadlines changed how you worked.,pressure,"basically, During an internship release week, we discovered a blocking issue shortly before a demo. I tried to help and talk to people, but I was not very structured about it. I reduced the noise by identifying what truly had to happen first and what could wait We got through the deadline without unnecessary panic and delivered the most important work successfully.",weak,4,3,1,"measurable impact, specific actions"
169,Tell me about a time pressure revealed your decision-making style.,pressure,"basically, In a project presentation cycle, several problems surfaced right before the final deadline. I tried to help and talk to people, but I was not very structured about it. I kept updates short and frequent so nobody wasted time guessing about the status The pressure was real, but the team stayed coordinated because the priorities were clear.",weak,4,2,2,"metrics, ownership, specific context"
172,Describe a time you managed risk during a very busy stretch.,pressure,"kind of, At a student event, last-minute changes forced the team to reorganize work quickly. I tried to help and talk to people, but I was not very structured about it. I avoided trying to fix everything at once and instead focused on the highest-risk path We recovered enough to meet the key milestone, and I learned how much clarity matters when time is tight.",weak,3,2,1,"clear structure, result"
175,Tell me about a time you had to deliver while things felt chaotic.,pressure,"kind of, During a sprint, a production-like bug appeared while other commitments were already heavy. I tried to help and talk to people, but I was not very structured about it. I stayed calm, documented the options, and asked for help where it would change the outcome fastest The situation stabilized quickly because we stopped multitasking and focused on the right fixes.",weak,2,3,1,"clear structure, result"
181,Tell me about a difficult challenge you worked through.,challenge,"kind of, During my internship, a workflow looked simple at first but had several hidden edge cases. I tried to help and talk to people, but I was not very structured about it. I stopped assuming the first path was correct and gathered evidence about what was actually failing We solved the challenge with a stronger approach, and the later solution was much more reliable than the first idea.",weak,2,3,3,"metrics, ownership, specific context"
182,Tell me about a difficult challenge you worked through.,challenge,"During my internship, a workflow looked simple at first but had several hidden edge cases. I stopped assuming the first path was correct and gathered evidence about what was actually failing. I also kept the team updated so we could move forward without too much confusion. We solved the challenge with a stronger approach, and the later solution was much more reliable than the first idea.",average,6,6,6,strong impact
183,Tell me about a difficult challenge you worked through.,challenge,"During my internship, a workflow looked simple at first but had several hidden edge cases. I first clarified the success criteria and the actual risk to the timeline. I stopped assuming the first path was correct and gathered evidence about what was actually failing. I documented the decision path, followed up on ownership, and kept stakeholders aligned. We solved the challenge with a stronger approach, and the later solution was much more reliable than the first idea.",strong,10,9,10,
184,Describe a time a hard problem pushed you out of your comfort zone.,challenge,"kind of, In a class project, our first design failed once we tested it with real users. I tried to help and talk to people, but I was not very structured about it. I broke the problem into smaller hypotheses, tested them one by one, and tracked what I learned The problem took longer than expected, but the final result was better because we validated the real root cause.",weak,3,4,2,"clear structure, result"
185,Describe a time a hard problem pushed you out of your comfort zone.,challenge,"In a class project, our first design failed once we tested it with real users. I broke the problem into smaller hypotheses, tested them one by one, and tracked what I learned. I also kept the team updated so we could move forward without too much confusion. The problem took longer than expected, but the final result was better because we validated the real root cause.",average,6,5,4,metrics
186,Describe a time a hard problem pushed you out of your comfort zone.,challenge,"In a class project, our first design failed once we tested it with real users. I first clarified the success criteria and the actual risk to the timeline. I broke the problem into smaller hypotheses, tested them one by one, and tracked what I learned. I documented the decision path, followed up on ownership, and kept stakeholders aligned. The problem took longer than expected, but the final result was better because we validated the real root cause.",strong,8,9,7,
187,Tell me about a time you faced a challenge that took persistence.,challenge,"to be honest, During a team build, the integration problem was harder than what the initial plan assumed. I tried to help and talk to people, but I was not very structured about it. I kept the team informed when I needed to change direction so nobody planned around old assumptions The challenge improved my problem-solving habits because I became more evidence-driven.",weak,2,2,3,"clear structure, result"
188,Tell me about a time you faced a challenge that took persistence.,challenge,"During a team build, the integration problem was harder than what the initial plan assumed. I kept the team informed when I needed to change direction so nobody planned around old assumptions. I also kept the team updated so we could move forward without too much confusion. The challenge improved my problem-solving habits because I became more evidence-driven.",average,6,6,6,reflection
189,Tell me about a time you faced a challenge that took persistence.,challenge,"During a team build, the integration problem was harder than what the initial plan assumed. I first clarified the success criteria and the actual risk to the timeline. I kept the team informed when I needed to change direction so nobody planned around old assumptions. I documented the decision path, followed up on ownership, and kept stakeholders aligned. The challenge improved my problem-solving habits because I became more evidence-driven.",strong,9,7,8,deeper reflection
190,Describe a time the first solution did not work.,challenge,"to be honest, At an internship, a performance issue appeared only under realistic load. I tried to help and talk to people, but I was not very structured about it. I used the failed attempt as data instead of treating it as wasted effort We delivered a stable outcome after reworking the plan, and that prevented repeat issues later.",weak,3,2,2,"metrics, ownership, specific context"
191,Describe a time the first solution did not work.,challenge,"At an internship, a performance issue appeared only under realistic load. I used the failed attempt as data instead of treating it as wasted effort. I also kept the team updated so we could move forward without too much confusion. We delivered a stable outcome after reworking the plan, and that prevented repeat issues later.",average,7,6,4,strong impact
192,Describe a time the first solution did not work.,challenge,"At an internship, a performance issue appeared only under realistic load. I first clarified the success criteria and the actual risk to the timeline. I used the failed attempt as data instead of treating it as wasted effort. I documented the decision path, followed up on ownership, and kept stakeholders aligned. We delivered a stable outcome after reworking the plan, and that prevented repeat issues later.",strong,7,7,9,
193,Tell me about a time you had to rethink your approach to a challenge.,challenge,"to be honest, In a student product project, a dependency behaved differently from the documentation. I tried to help and talk to people, but I was not very structured about it. I balanced persistence with realism, which meant changing the design once the facts clearly supported it The final solution held up well because we iterated instead of forcing the first design.",weak,4,3,1,"metrics, ownership, specific context"
194,Tell me about a time you had to rethink your approach to a challenge.,challenge,"In a student product project, a dependency behaved differently from the documentation. I balanced persistence with realism, which meant changing the design once the facts clearly supported it. I also kept the team updated so we could move forward without too much confusion. The final solution held up well because we iterated instead of forcing the first design.",average,7,5,5,strong impact
195,Tell me about a time you had to rethink your approach to a challenge.,challenge,"In a student product project, a dependency behaved differently from the documentation. I first clarified the success criteria and the actual risk to the timeline. I balanced persistence with realism, which meant changing the design once the facts clearly supported it. I documented the decision path, followed up on ownership, and kept stakeholders aligned. The final solution held up well because we iterated instead of forcing the first design.",strong,10,9,8,
202,Describe a time you had to learn your way through a problem.,challenge,"kind of, During a team build, the integration problem was harder than what the initial plan assumed. I tried to help and talk to people, but I was not very structured about it. I kept the team informed when I needed to change direction so nobody planned around old assumptions The challenge improved my problem-solving habits because I became more evidence-driven.",weak,4,3,2,"measurable impact, specific actions"
205,Tell me about a time the obvious solution was not enough.,challenge,"honestly, At an internship, a performance issue appeared only under realistic load. I tried to help and talk to people, but I was not very structured about it. I used the failed attempt as data instead of treating it as wasted effort We delivered a stable outcome after reworking the plan, and that prevented repeat issues later.",weak,2,2,1,"measurable impact, specific actions"
211,Tell me about a time your communication made a difference.,communication,"to be honest, During an internship, I had to explain a technical tradeoff to non-technical stakeholders. I tried to help and talk to people, but I was not very structured about it. I adjusted the level of detail for the audience and focused on the decision they actually needed to make People aligned faster, the decision moved forward, and confusion dropped after the conversation.",weak,4,2,2,"metrics, ownership, specific context"
212,Tell me about a time your communication made a difference.,communication,"During an internship, I had to explain a technical tradeoff to non-technical stakeholders. I adjusted the level of detail for the audience and focused on the decision they actually needed to make. I also kept the team updated so we could move forward without too much confusion. People aligned faster, the decision moved forward, and confusion dropped after the conversation.",average,5,4,4,strong impact
213,Tell me about a time your communication made a difference.,communication,"During an internship, I had to explain a technical tradeoff to non-technical stakeholders. I first clarified the success criteria and the actual risk to the timeline. I adjusted the level of detail for the audience and focused on the decision they actually needed to make. I documented the decision path, followed up on ownership, and kept stakeholders aligned. People aligned faster, the decision moved forward, and confusion dropped after the conversation.",strong,9,10,7,deeper reflection
214,Describe a time you had to explain something complex clearly.,communication,"kind of, In a student team, people had different understandings of what the project milestone meant. I tried to help and talk to people, but I was not very structured about it. I replaced jargon with plain language, used a simple example, and confirmed understanding before moving on The message landed well because the audience understood both the risk and the recommended path.",weak,4,3,2,"measurable impact, specific actions"
215,Describe a time you had to explain something complex clearly.,communication,"In a student team, people had different understandings of what the project milestone meant. I replaced jargon with plain language, used a simple example, and confirmed understanding before moving on. I also kept the team updated so we could move forward without too much confusion. The message landed well because the audience understood both the risk and the recommended path.",average,7,5,5,metrics
216,Describe a time you had to explain something complex clearly.,communication,"In a student team, people had different understandings of what the project milestone meant. I first clarified the success criteria and the actual risk to the timeline. I replaced jargon with plain language, used a simple example, and confirmed understanding before moving on. I documented the decision path, followed up on ownership, and kept stakeholders aligned. The message landed well because the audience understood both the risk and the recommended path.",strong,7,10,9,
217,Tell me about a time you aligned people through communication.,communication,"kind of, During a release discussion, several teams were using slightly different definitions of success. I tried to help and talk to people, but I was not very structured about it. I summarized key points in writing afterward so the alignment did not disappear after the meeting We avoided wasted work because expectations became clear before implementation continued.",weak,2,2,1,"measurable impact, specific actions"
218,Tell me about a time you aligned people through communication.,communication,"During a release discussion, several teams were using slightly different definitions of success. I summarized key points in writing afterward so the alignment did not disappear after the meeting. I also kept the team updated so we could move forward without too much confusion. We avoided wasted work because expectations became clear before implementation continued.",average,7,6,4,reflection
219,Tell me about a time you aligned people through communication.,communication,"During a release discussion, several teams were using slightly different definitions of success. I first clarified the success criteria and the actual risk to the timeline. I summarized key points in writing afterward so the alignment did not disappear after the meeting. I documented the decision path, followed up on ownership, and kept stakeholders aligned. We avoided wasted work because expectations became clear before implementation continued.",strong,9,7,8,deeper reflection
220,Describe a time a message had to be adjusted for the audience.,communication,"basically, At an internship, a vague update caused confusion about whether a blocker was resolved. I tried to help and talk to people, but I was not very structured about it. I made the tradeoffs explicit instead of assuming everyone interpreted the situation the same way The communication helped stakeholders make a timely decision and trust the rationale behind it.",weak,3,2,3,"clear structure, result"
221,Describe a time a message had to be adjusted for the audience.,communication,"At an internship, a vague update caused confusion about whether a blocker was resolved. I made the tradeoffs explicit instead of assuming everyone interpreted the situation the same way. I also kept the team updated so we could move forward without too much confusion. The communication helped stakeholders make a timely decision and trust the rationale behind it.",average,7,5,4,strong impact
222,Describe a time a message had to be adjusted for the audience.,communication,"At an internship, a vague update caused confusion about whether a blocker was resolved. I first clarified the success criteria and the actual risk to the timeline. I made the tradeoffs explicit instead of assuming everyone interpreted the situation the same way. I documented the decision path, followed up on ownership, and kept stakeholders aligned. The communication helped stakeholders make a timely decision and trust the rationale behind it.",strong,9,10,9,deeper reflection
223,Tell me about a time poor communication could have caused a problem.,communication,"honestly, In a project review, I needed to present a complex issue in a way leadership could act on quickly. I tried to help and talk to people, but I was not very structured about it. I thought carefully about what was important to say, what was noise, and what action the audience needed next It showed me that good communication is often about clarity and framing, not just detail.",weak,2,3,2,"measurable impact, specific actions"
224,Tell me about a time poor communication could have caused a problem.,communication,"In a project review, I needed to present a complex issue in a way leadership could act on quickly. I thought carefully about what was important to say, what was noise, and what action the audience needed next. I also kept the team updated so we could move forward without too much confusion. It showed me that good communication is often about clarity and framing, not just detail.",average,6,5,6,strong impact
225,Tell me about a time poor communication could have caused a problem.,communication,"In a project review, I needed to present a complex issue in a way leadership could act on quickly. I first clarified the success criteria and the actual risk to the timeline. I thought carefully about what was important to say, what was noise, and what action the audience needed next. I documented the decision path, followed up on ownership, and kept stakeholders aligned. It showed me that good communication is often about clarity and framing, not just detail.",strong,7,10,7,deeper reflection
226,Describe a time you had to simplify technical detail for others.,communication,"kind of, During an internship, I had to explain a technical tradeoff to non-technical stakeholders. I tried to help and talk to people, but I was not very structured about it. I adjusted the level of detail for the audience and focused on the decision they actually needed to make People aligned faster, the decision moved forward, and confusion dropped after the conversation.",weak,3,2,2,"measurable impact, specific actions"
232,Describe a time your communication changed a decision.,communication,"basically, During a release discussion, several teams were using slightly different definitions of success. I tried to help and talk to people, but I was not very structured about it. I summarized key points in writing afterward so the alignment did not disappear after the meeting We avoided wasted work because expectations became clear before implementation continued.",weak,2,2,3,"measurable impact, specific actions"
235,Tell me about a time you had to deliver difficult information clearly.,communication,"honestly, At an internship, a vague update caused confusion about whether a blocker was resolved. I tried to help and talk to people, but I was not very structured about it. I made the tradeoffs explicit instead of assuming everyone interpreted the situation the same way The communication helped stakeholders make a timely decision and trust the rationale behind it.",weak,3,2,3,"metrics, ownership, specific context"
238,Describe a time you improved outcomes by communicating better.,communication,"to be honest, In a project review, I needed to present a complex issue in a way leadership could act on quickly. I tried to help and talk to people, but I was not very structured about it. I thought carefully about what was important to say, what was noise, and what action the audience needed next It showed me that good communication is often about clarity and framing, not just detail.",weak,3,4,1,"clear structure, result"
241,Tell me about a time you worked through ambiguity.,ambiguity,"kind of, During an internship, a project started before the requirements were fully settled. I tried to help and talk to people, but I was not very structured about it. I turned ambiguity into smaller questions, gathered missing signals, and kept a visible list of assumptions We made steady progress instead of stalling, and the project direction became clearer as we learned more.",weak,4,3,1,"clear structure, result"
242,Tell me about a time you worked through ambiguity.,ambiguity,"During an internship, a project started before the requirements were fully settled. I turned ambiguity into smaller questions, gathered missing signals, and kept a visible list of assumptions. I also kept the team updated so we could move forward without too much confusion. We made steady progress instead of stalling, and the project direction became clearer as we learned more.",average,7,5,6,reflection
243,Tell me about a time you worked through ambiguity.,ambiguity,"During an internship, a project started before the requirements were fully settled. I first clarified the success criteria and the actual risk to the timeline. I turned ambiguity into smaller questions, gathered missing signals, and kept a visible list of assumptions. I documented the decision path, followed up on ownership, and kept stakeholders aligned. We made steady progress instead of stalling, and the project direction became clearer as we learned more.",strong,10,8,10,
244,Describe a time requirements were unclear and you still made progress.,ambiguity,"basically, In a product team, stakeholders agreed on the problem but not on the exact solution path. I tried to help and talk to people, but I was not very structured about it. I proposed a narrow first step so we could learn quickly instead of waiting for perfect clarity The team avoided paralysis, validated the right path early, and saved time later.",weak,3,3,3,"measurable impact, specific actions"
245,Describe a time requirements were unclear and you still made progress.,ambiguity,"In a product team, stakeholders agreed on the problem but not on the exact solution path. I proposed a narrow first step so we could learn quickly instead of waiting for perfect clarity. I also kept the team updated so we could move forward without too much confusion. The team avoided paralysis, validated the right path early, and saved time later.",average,6,5,5,metrics
246,Describe a time requirements were unclear and you still made progress.,ambiguity,"In a product team, stakeholders agreed on the problem but not on the exact solution path. I first clarified the success criteria and the actual risk to the timeline. I proposed a narrow first step so we could learn quickly instead of waiting for perfect clarity. I documented the decision path, followed up on ownership, and kept stakeholders aligned. The team avoided paralysis, validated the right path early, and saved time later.",strong,8,10,8,deeper reflection
247,Tell me about a time you had to move without a full answer.,ambiguity,"honestly, During a class project, the goal was broad and success criteria were still forming. I tried to help and talk to people, but I was not very structured about it. I checked in often with stakeholders so the direction became sharper as evidence improved The ambiguity did not disappear immediately, but we created enough structure to execute confidently.",weak,3,4,2,"measurable impact, specific actions"
248,Tell me about a time you had to move without a full answer.,ambiguity,"During a class project, the goal was broad and success criteria were still forming. I checked in often with stakeholders so the direction became sharper as evidence improved. I also kept the team updated so we could move forward without too much confusion. The ambiguity did not disappear immediately, but we created enough structure to execute confidently.",average,6,5,6,reflection
249,Tell me about a time you had to move without a full answer.,ambiguity,"During a class project, the goal was broad and success criteria were still forming. I first clarified the success criteria and the actual risk to the timeline. I checked in often with stakeholders so the direction became sharper as evidence improved. I documented the decision path, followed up on ownership, and kept stakeholders aligned. The ambiguity did not disappear immediately, but we created enough structure to execute confidently.",strong,8,10,7,
250,Describe a time uncertainty made execution difficult.,ambiguity,"kind of, At an internship, the team knew something needed improvement but not yet which direction would work best. I tried to help and talk to people, but I was not very structured about it. I documented the decisions we were making under uncertainty and what would cause us to revisit them The work moved forward without reckless guessing because assumptions were explicit and tested.",weak,2,3,1,"measurable impact, specific actions"
251,Describe a time uncertainty made execution difficult.,ambiguity,"At an internship, the team knew something needed improvement but not yet which direction would work best. I documented the decisions we were making under uncertainty and what would cause us to revisit them. I also kept the team updated so we could move forward without too much confusion. The work moved forward without reckless guessing because assumptions were explicit and tested.",average,6,4,6,metrics
252,Describe a time uncertainty made execution difficult.,ambiguity,"At an internship, the team knew something needed improvement but not yet which direction would work best. I first clarified the success criteria and the actual risk to the timeline. I documented the decisions we were making under uncertainty and what would cause us to revisit them. I documented the decision path, followed up on ownership, and kept stakeholders aligned. The work moved forward without reckless guessing because assumptions were explicit and tested.",strong,10,8,7,deeper reflection
253,Tell me about a time you created structure in an ambiguous situation.,ambiguity,"kind of, In a student build, feedback kept changing while implementation had already started. I tried to help and talk to people, but I was not very structured about it. I focused on reducing risk while still moving forward, not on pretending the uncertainty did not exist It taught me that ambiguity is manageable when you turn it into smaller decisions and feedback loops.",weak,3,4,3,"clear structure, result"
254,Tell me about a time you created structure in an ambiguous situation.,ambiguity,"In a student build, feedback kept changing while implementation had already started. I focused on reducing risk while still moving forward, not on pretending the uncertainty did not exist. I also kept the team updated so we could move forward without too much confusion. It taught me that ambiguity is manageable when you turn it into smaller decisions and feedback loops.",average,7,4,5,reflection
255,Tell me about a time you created structure in an ambiguous situation.,ambiguity,"In a student build, feedback kept changing while implementation had already started. I first clarified the success criteria and the actual risk to the timeline. I focused on reducing risk while still moving forward, not on pretending the uncertainty did not exist. I documented the decision path, followed up on ownership, and kept stakeholders aligned. It taught me that ambiguity is manageable when you turn it into smaller decisions and feedback loops.",strong,10,9,10,
256,Describe a time a project lacked clear direction at first.,ambiguity,"honestly, During an internship, a project started before the requirements were fully settled. I tried to help and talk to people, but I was not very structured about it. I turned ambiguity into smaller questions, gathered missing signals, and kept a visible list of assumptions We made steady progress instead of stalling, and the project direction became clearer as we learned more.",weak,4,2,1,"measurable impact, specific actions"
259,Tell me about a time you had to define the path yourself.,ambiguity,"honestly, In a product team, stakeholders agreed on the problem but not on the exact solution path. I tried to help and talk to people, but I was not very structured about it. I proposed a narrow first step so we could learn quickly instead of waiting for perfect clarity The team avoided paralysis, validated the right path early, and saved time later.",weak,3,2,3,"clear structure, result"
262,Describe a time changing information made planning harder.,ambiguity,"to be honest, During a class project, the goal was broad and success criteria were still forming. I tried to help and talk to people, but I was not very structured about it. I checked in often with stakeholders so the direction became sharper as evidence improved The ambiguity did not disappear immediately, but we created enough structure to execute confidently.",weak,2,4,2,"measurable impact, specific actions"
265,Tell me about a time you had to reduce ambiguity for others.,ambiguity,"to be honest, At an internship, the team knew something needed improvement but not yet which direction would work best. I tried to help and talk to people, but I was not very structured about it. I documented the decisions we were making under uncertainty and what would cause us to revisit them The work moved forward without reckless guessing because assumptions were explicit and tested.",weak,2,3,3,"clear structure, result"
268,Describe a time you made progress with incomplete information.,ambiguity,"basically, In a student build, feedback kept changing while implementation had already started. I tried to help and talk to people, but I was not very structured about it. I focused on reducing risk while still moving forward, not on pretending the uncertainty did not exist It taught me that ambiguity is manageable when you turn it into smaller decisions and feedback loops.",weak,3,4,2,"measurable impact, specific actions"
271,Tell me about a time you took ownership of something important.,ownership,"honestly, During an internship, a workflow had several owners on paper but no one was watching the full outcome. I tried to help and talk to people, but I was not very structured about it. I treated the end result as my responsibility, even when I needed help from several people to get there The issue was resolved more completely because someone was finally watching it end to end.",weak,2,3,3,"clear structure, result"
272,Tell me about a time you took ownership of something important.,ownership,"During an internship, a workflow had several owners on paper but no one was watching the full outcome. I treated the end result as my responsibility, even when I needed help from several people to get there. I also kept the team updated so we could move forward without too much confusion. The issue was resolved more completely because someone was finally watching it end to end.",average,7,5,6,strong impact
273,Tell me about a time you took ownership of something important.,ownership,"During an internship, a workflow had several owners on paper but no one was watching the full outcome. I first clarified the success criteria and the actual risk to the timeline. I treated the end result as my responsibility, even when I needed help from several people to get there. I documented the decision path, followed up on ownership, and kept stakeholders aligned. The issue was resolved more completely because someone was finally watching it end to end.",strong,7,10,9,
274,Describe a time you owned a problem end to end.,ownership,"honestly, In a capstone project, one important task kept slipping because responsibility was fragmented. I tried to help and talk to people, but I was not very structured about it. I kept the full picture visible, not just my individual task, and followed up until the problem was actually closed The delivery quality improved, and the team had more confidence because ownership was visible.",weak,4,4,2,"clear structure, result"
275,Describe a time you owned a problem end to end.,ownership,"In a capstone project, one important task kept slipping because responsibility was fragmented. I kept the full picture visible, not just my individual task, and followed up until the problem was actually closed. I also kept the team updated so we could move forward without too much confusion. The delivery quality improved, and the team had more confidence because ownership was visible.",average,5,6,5,metrics
276,Describe a time you owned a problem end to end.,ownership,"In a capstone project, one important task kept slipping because responsibility was fragmented. I first clarified the success criteria and the actual risk to the timeline. I kept the full picture visible, not just my individual task, and followed up until the problem was actually closed. I documented the decision path, followed up on ownership, and kept stakeholders aligned. The delivery quality improved, and the team had more confidence because ownership was visible.",strong,8,9,8,
277,Tell me about a time you stepped in because something needed a real owner.,ownership,"honestly, During a release cycle, a handoff issue was hurting quality but was not clearly assigned to one person. I tried to help and talk to people, but I was not very structured about it. I made ownership explicit, closed loops with others, and did not assume silence meant things were handled The problem stopped bouncing between people and the resolution happened faster.",weak,4,4,1,"clear structure, result"
278,Tell me about a time you stepped in because something needed a real owner.,ownership,"During a release cycle, a handoff issue was hurting quality but was not clearly assigned to one person. I made ownership explicit, closed loops with others, and did not assume silence meant things were handled. I also kept the team updated so we could move forward without too much confusion. The problem stopped bouncing between people and the resolution happened faster.",average,6,4,6,strong impact
279,Tell me about a time you stepped in because something needed a real owner.,ownership,"During a release cycle, a handoff issue was hurting quality but was not clearly assigned to one person. I first clarified the success criteria and the actual risk to the timeline. I made ownership explicit, closed loops with others, and did not assume silence meant things were handled. I documented the decision path, followed up on ownership, and kept stakeholders aligned. The problem stopped bouncing between people and the resolution happened faster.",strong,8,7,9,deeper reflection
280,Describe a time you carried responsibility beyond your immediate task.,ownership,"basically, At an internship, a recurring blocker sat between teams and was easy for everyone to partially ignore. I tried to help and talk to people, but I was not very structured about it. I pushed past the easy handoff point and stayed engaged until the downstream impact looked healthy too The result was stronger because I stayed engaged after the first fix instead of assuming it was done.",weak,2,2,1,"measurable impact, specific actions"
